date,Year,Month,Bond_lag_MV,Bond_Ew_Ret,Bond_Vw_Ret
1992-05-31,1992,5,2.439922,0.013405247417085174,0.012506243643717968
1992-06-30,1992,6,2.476889,0.012672078634066405,0.01089740132808573
1992-07-31,1992,7,2.485244,0.01983699928734615,0.017892935026498365
1992-08-31,1992,8,2.506629,0.00821758860279753,0.0073650186218987505
1992-09-30,1992,9,2.539473,0.012333088842108646,0.01105098025343549
1992-10-31,1992,10,2.562147,-0.010597258441327334,-0.0090556627855064
1992-11-30,1992,11,2.576787,-0.001184379435502693,-0.00032370867670544913
1992-12-31,1992,12,2.584643,0.013010646814841379,0.012041246341514033
1993-01-31,1993,1,2.65763,0.015925553426557732,0.014323456753560487
1993-02-28,1993,2,2.668254,0.015094578255174386,0.013418809362795835
1993-03-31,1993,3,2.636707,0.00390354164348261,0.0033694354666999656
1993-04-30,1993,4,2.660582,0.006543136036002152,0.00603307231778794
1993-05-31,1993,5,2.696041,-0.0007422761396613538,-0.0003185910955860479
1993-06-30,1993,6,2.738594,0.016853175777747344,0.015301518559567327
1993-07-31,1993,7,2.694985,0.004228401027624647,0.004413549517081837
1993-08-31,1993,8,2.755658,0.016327499399086808,0.014942539959558812
1993-09-30,1993,9,2.745303,0.003950993740252739,0.003568410816778564
1993-10-31,1993,10,2.797569,0.0029951200983048794,0.003082312519623168
1993-11-30,1993,11,2.822541,-0.006618727385338289,-0.005489248879260222
1993-12-31,1993,12,2.851722,0.0036183424043076118,0.0034471839507211853
1994-01-31,1994,1,2.886667,0.010816275965736099,0.009806273135417556
1994-02-28,1994,2,2.885313,-0.015210649157095564,-0.013251322533057438
1994-03-31,1994,3,2.883285,-0.014731798758314159,-0.012409091594716672
1994-04-30,1994,4,2.926961,-0.005768933217190198,-0.004822437288082779
1994-05-31,1994,5,2.934808,0.00035321984699332584,0.0004866352367389461
1994-06-30,1994,6,2.92697,-0.00034231527013398066,0.00014483982849991495
1994-07-31,1994,7,2.93561,0.013419399053958747,0.012533440002136
1994-08-31,1994,8,2.964862,0.0021658541572612956,0.0019765332436071778
1994-09-30,1994,9,2.930514,-0.009196157829492057,-0.007848140170094926
1994-10-31,1994,10,2.991978,0.0005487616765341048,0.001085792604413824
1994-11-30,1994,11,3.038752,-0.0009431403607795403,-0.00048314587966863913
1994-12-31,1994,12,2.998594,0.005517713435084145,0.005458129179107374
1995-01-31,1995,1,3.052253,0.01535694803220511,0.014268153508033204
1995-02-28,1995,2,3.068008,0.017844399931780507,0.015804677785007302
1995-03-31,1995,3,3.073067,0.005986715879975371,0.005923388343489418
1995-04-30,1995,4,3.124586,0.010884882074752885,0.009854803768157496
1995-05-31,1995,5,3.131489,0.031871753320306236,0.028164993774429714
1995-06-30,1995,6,3.074084,0.007590532924949916,0.007208632435630876
1995-07-31,1995,7,3.143416,-0.0013385334992930464,-0.00037521205761858236
1995-08-31,1995,8,3.163652,0.009716071956645726,0.009062076858170481
1995-09-30,1995,9,3.121079,0.007721329114912065,0.0071341756310036334
