,Year,Month,Stock lag MV,Stock Ew Ret,Stock Vw Ret
669,1981,11,1207189653.77785,0.01887720842439897,0.04421440335710025
670,1981,12,1258336267.15996,-0.020066258967960087,-0.027544964542343377
671,1982,1,1226222242.71144,-0.01742231009283034,-0.02436611758102422
672,1982,2,1192233667.42483,-0.04715812048647761,-0.049273228451691305
673,1982,3,1123738712.85224,-0.011749614096533662,-0.008548103509423708
674,1982,4,1099231600.67614,0.05262421763194307,0.043827157149867665
675,1982,5,1143929115.34999,-0.02344959484638256,-0.02850073380675981
676,1982,6,1100281989.94992,-0.035975084135027174,-0.020989446274294634
677,1982,7,1074329503.84572,-0.017014042844438856,-0.021205178232523738
678,1982,8,1039938759.73594,0.06226677424514448,0.11884640334510845
679,1982,9,1162037202.7191,0.03260189362549801,0.018062238920327288
680,1982,10,1180988778.58217,0.12951047732107854,0.11877170481009244
681,1982,11,1318349507.70771,0.09355593566660644,0.053063327383931484
682,1982,12,1381818437.91461,0.021341473768238,0.012335167217722924
683,1983,1,1406851354.27152,0.11216036459233858,0.04277624000411335
684,1983,2,1460361594.29105,0.055085414684579066,0.03199463798557615
685,1983,3,1498297820.43189,0.05117299824854423,0.03451724184231814
686,1983,4,1555357510.3883,0.08125914010103726,0.0737497588007782
687,1983,5,1671308223.724,0.09329848419256503,0.012127399614881438
688,1983,6,1689955357.98437,0.05008967260603911,0.037367689085154365
689,1983,7,1767558881.21731,-0.0193100938222939,-0.0332198139974695
690,1983,8,1712334845.74481,-0.03511697135357939,0.00248231897331411
691,1983,9,1713993747.64129,0.009736015756886334,0.017103474335947565
692,1983,10,1748803285.94433,-0.05730624064468322,-0.02677321839533614
693,1983,11,1704101730.83561,0.029451858711876486,0.028643919674204606
694,1983,12,1749865944.13656,-0.02025831988825495,-0.010477309446746005
695,1984,1,1737210001.32676,0.0036252465505525813,-0.011591420472810369
696,1984,2,1717719631.23292,-0.05743185649724673,-0.040476852208465953
697,1984,3,1627679755.3833401,0.006175965430482733,0.013615541190060788
698,1984,4,1644828462.77102,-0.02009478498301846,0.003004078632474924
699,1984,5,1645533046.59967,-0.05098881923223492,-0.051802185375244426
700,1984,6,1552028004.5089,0.01469176701205682,0.02557820684692161
701,1984,7,1571297042.18718,-0.0470041795207268,-0.019169714930829446
702,1984,8,1536242517.24474,0.08930214383631051,0.11084169495169935
703,1984,9,1694708947.01206,-0.0018927326481642855,0.0005705611129804046
704,1984,10,1689040236.79137,-0.02264469989589607,0.0014634462906825108
705,1984,11,1678746821.87255,-0.032920068362141244,-0.010308609295654894
706,1984,12,1645017377.05947,0.0066271480896081215,0.0247080187012529
707,1985,1,1679553529.13101,0.12411535696450875,0.0860981026474604
708,1985,2,1815361011.5554,0.04878915907641537,0.018006906983217105
709,1985,3,1837132599.77114,-0.012106961491549051,-0.0022479584816491164
710,1985,4,1826845182.14312,-0.012482325065546139,-0.0023947209815342774
711,1985,5,1820246286.67365,0.022659349222016054,0.05726051272831781
712,1985,6,1906570201.30902,0.002512751133260093,0.01820689077453618
713,1985,7,1920707674.93359,0.01901858017142977,-0.0008122273464965988
714,1985,8,1912489438.53519,-0.004898794433176573,-0.004618055412882364
715,1985,9,1892579681.09296,-0.05862952625174396,-0.039044035213789345
716,1985,10,1804694286.81039,0.018368479364941754,0.04650877018687196
717,1985,11,1885123744.02011,0.05364017807259836,0.07052205930602792
718,1985,12,1996339665.61965,0.030210356942706865,0.045218576196693935
719,1986,1,2086323560.73476,0.04339493799676661,0.012096389914812294
720,1986,2,2104049368.96717,0.06289459983529627,0.07646730144504475
721,1986,3,2254016350.71161,0.047811025094260357,0.054730013351803275
722,1986,4,2376910498.4717,0.014640850361716327,-0.007593682796097144
723,1986,5,2342461399.71221,0.037645450175586785,0.05100976801389108
724,1986,6,2459344148.09012,0.008308295844134277,0.01556051033389848
725,1986,7,2499943826.35914,-0.07656533636846183,-0.059142212160572534
726,1986,8,2355797924.21558,0.01747289682092055,0.0651088331817386
727,1986,9,2502723812.38758,-0.06472975837081987,-0.0812525964753264
728,1986,10,2294169668.02197,0.02468351223605506,0.051043359969186845
729,1986,11,2403137611.18738,-0.0076956997987773145,0.015534037299483541
730,1986,12,2428779944.04152,-0.03653357452819256,-0.027537814115756308
731,1987,1,2350457445.70471,0.11780085227133981,0.12852468487815508
732,1987,2,2651584599.93068,0.07772222373525182,0.04808902251435561
733,1987,3,2770425210.16413,0.03158532701301876,0.021049065415229593
734,1987,4,2829144916.61176,-0.020886284046229775,-0.01649995270855138
735,1987,5,2775216044.21537,-0.00018477042648097004,0.004840866680164117
736,1987,6,2784350369.42424,0.0211760142297548,0.0438840520586078
737,1987,7,2895091954.88101,0.03221027715298946,0.042873262872508956
738,1987,8,3010760743.24547,0.01661625983440616,0.03990623604156691
739,1987,9,3114554898.82693,-0.015651165922553084,-0.0213081213563208
740,1987,10,3052297429.86486,-0.2754210546327558,-0.22576747782499648
741,1987,11,2350862584.41811,-0.054105573739594785,-0.07391657359512521
742,1987,12,2162641444.44372,0.02893543408855431,0.07206146348984196
743,1988,1,2311770297.81626,0.07916212202277122,0.04499777493464172
744,1988,2,2404247965.03142,0.06435973736990636,0.05210830329806688
745,1988,3,2512954912.99071,0.03643457846163909,-0.01817349823409329
746,1988,4,2449963243.42119,0.015103366966223023,0.010278163062771462
747,1988,5,2465905178.62237,-0.017410251865393384,0.0022047810946353194
748,1988,6,2454915400.01355,0.05066740628730332,0.052665009244648835
749,1988,7,2559236292.8677998,-0.00019519301343173343,-0.007384427023117272
750,1988,8,2535892612.74533,-0.022613891113866743,-0.02705673186246674
751,1988,9,2445710823.49673,0.019316778857470684,0.03910853144482122
752,1988,10,2531531385.58329,-0.014425693948117466,0.01766037948154323
753,1988,11,2562709308.44872,-0.04013009712699967,-0.017115113483920086
754,1988,12,2500755220.63964,0.021131910217817407,0.021091939325384848
755,1989,1,2509997449.33531,0.06304957587897073,0.0662162077271511
756,1989,2,2657474001.72828,0.0035608979435592363,-0.016374216479938305
757,1989,3,2599321501.04181,0.01723554336403063,0.022360655308683548
758,1989,4,2648568722.70475,0.030716875183113026,0.050048539042231416
759,1989,5,2772706496.93023,0.02891443089289749,0.04073075459367953
760,1989,6,2849423245.386,-0.010820205130793268,-0.0062753770083635455
761,1989,7,2817779322.78189,0.02899435347728243,0.07872376952434007
762,1989,8,3020302622.98107,0.019592053031582502,0.02178903244491234
763,1989,9,3074328189.0989,0.002614583617936852,-0.0011587386867358716
764,1989,10,3064871410.29325,-0.05326764904488603,-0.02979156305745277
765,1989,11,2969508024.23329,-0.010766827309402462,0.017145111277195316
766,1989,12,3004642287.51565,-0.015334947975234449,0.017689858969581453
767,1990,1,3056211780.4587,-0.05106369662862319,-0.07227095118699986
768,1990,2,2811542602.03328,0.02010813467157588,0.01672063438298437
769,1990,3,2848598019.21059,0.026191270781121736,0.024722080830706726
