Year,Month,Stock_lag_MV,Stock_Excess_Vw_Ret,Bond_lag_MV,Bond_Excess_Vw_Ret
1942,1,28.84516771875,0.007922861259584201,0.040151,0.0011791018339652
1942,2,29.02651527388,-0.0245952470210075,0.040555,-0.0017419366959201
1942,3,28.13702016817,-0.065775007282041,0.041469,0.0092293091522768
1942,4,26.112151020210003,-0.0437116046921252,0.042599,-0.0014990380516385
1942,5,24.92733316029,0.0594695312126386,0.042899,0.0035930795126906
1942,6,26.22998225422,0.0269391752459016,0.044407,2.483121999990003e-05
1942,7,26.74301504003,0.0351094215170377,0.045702,0.00042545442499949997
1942,8,27.61580966131,0.0179399150036524,0.049414,0.0010154970572380001
1942,9,27.95632556027,0.0260652288666404,0.053777,-3.53298920275e-05
1942,10,28.52444643065,0.0681148188581466,0.055249,0.0015680725880934
1942,11,30.410358492740002,0.0014804418611043002,0.059247,-0.0002524916471959273
1942,12,30.15598246875,0.0512192815232198,0.064147,0.0016821379621421001
1943,1,31.45796475,0.07128400251607879,0.063863,0.0028988116280794
1943,2,33.675546,0.0614800757992767,0.072968,0.0008274821080406
1943,3,35.607786125,0.0601574924951719,0.075782,0.00048293114943520003
1943,4,37.5677529375,0.0081366981344657,0.075717,0.0029866109855776
1943,5,37.8202465665,0.0573023949696463,0.07542,0.004331049875449199
1943,6,39.7972028125,0.0181831022023352,0.076976,0.0026389857474207997
1943,7,40.3369620625,-0.0476828098456249,0.091259,-6.671420973440004e-05
1943,8,38.815032875,0.013161571229767,0.090155,0.00020631631434460005
1943,9,39.2236300625,0.023976709208618698,0.09489,0.0012839386502829
1943,10,39.97831653525,-0.0114626873354263,0.094698,0.000692435150138
1943,11,39.597531004000004,-0.0590761162945561,0.092288,8.521104639320001e-05
1943,12,36.97108973765,0.063347526923319,0.103445,0.0011349033609472001
1944,1,38.93493515625,0.017371309592077597,0.111072,0.0010805885215963
1944,2,39.7921186875,0.0036873055968970996,0.108868,0.0024374394826840997
1944,3,39.7686007064,0.0246767720765978,0.11002,0.0009230602880862
1944,4,40.55929309375,-0.0168674803096794,0.117864,0.0011598023040841
1944,5,39.847837625,0.050531164836755,0.124523,0.0012603218594158
1944,6,41.60214448727999,0.0549300082350537,0.125154,0.0010505414765991
1944,7,43.71735490625,-0.0148804204144157,0.124376,0.0018628067952541998
1944,8,43.07214075,0.0157123724383361,0.122612,0.0020194368763945
1944,9,43.5675351875,8.46931683492e-05,0.132525,8.552667459290001e-05
1944,10,43.4491121875,0.0015681985660149,0.139737,0.0006302839524521999
1944,11,43.4764661875,0.0171741869062009,0.138511,0.0011842492261354
1944,12,43.84755453125,0.0402694654258344,0.13643,0.0021039847516005
1945,1,45.89114925,0.0201267375996581,0.139255,0.0057859340999319
1945,2,46.8856723125,0.062262839168209495,0.142135,0.0032933089741501
1945,3,49.6099746875,-0.0389364657499403,0.155025,0.0010884284964960001
1945,4,47.50467425,0.07783727440428001,0.152373,0.0030607164753933998
1945,5,51.192427375,0.0173477326271381,0.155683,0.0006294888756834
1945,6,52.024599625,0.0038680066276675002,0.151192,0.0034271499984039
1945,7,52.080792,-0.0217006022409819,0.157413,-0.0004510963499823
1945,8,50.942657625,0.062069765139384205,0.156086,8.598256994949997e-05
1945,9,53.91595075,0.0476497821565042,0.174278,0.0013102815618673
1945,10,56.3296709375,0.038901785420154905,0.173926,0.0026825675360706
1945,11,58.5518480625,0.053883379031321905,0.173032,0.0025107967285315997
1945,12,61.3930858125,0.0119403538944367,0.172943,0.0036536918782274002
1946,1,62.872310375,0.0624025286634388,0.169625,0.008068538985713601
1946,2,67.1684056875,-0.0582378657784614,0.189266,0.0046423998583238
1946,3,63.133127,0.058717815339631406,0.194229,0.0009151543049227
1946,4,66.78105,0.042247806630831206,0.191451,-0.007208468249540001
1946,5,69.67721775,0.0393372772700344,0.186558,0.001999634256244
1946,6,72.520516,-0.038878584732005304,0.18308,0.0025238299909956
1946,7,69.5649176875,-0.0269183018429126,0.178884,-0.0024879299466911997
1946,8,68.0130586875,-0.0644134264348071,0.178207,-0.0010171397873016
1946,9,63.4832204375,-0.1016072826100375,0.180739,-0.0019447818789387998
1946,10,56.8872265625,-0.0143540447623256,0.175309,0.0035396877289949
1946,11,56.0167491875,-0.0001711607004458,0.171642,-0.0021847337582391
1946,12,55.6622249375,0.049597570512867506,0.170937,0.0051846002635736
1947,1,58.4468459375,0.0125131559162385,0.16633,0.0017891152338671
1947,2,59.255154,-0.0107765763151252,0.165858,0.0017046256328148999
1947,3,58.2947325,-0.0167198744897738,0.166675,0.0021291743002852
1947,4,57.2580893125,-0.0479818176602871,0.164017,-0.0003491991268062688
1947,5,54.4851430625,-0.009749418908860299,0.164018,0.0012879313638205002
1947,6,53.6468889375,0.0528657412443137,0.161943,-0.0011801380963991
1947,7,56.400118125,0.0413312627520372,0.160208,0.0009680962138865
1947,8,58.7444916875,-0.017419771998503697,0.160997,0.0029326860029264
1947,9,57.644373,-0.0050037265341384,0.161098,-0.0001470190798239
1947,10,57.1957254375,0.0247744095132034,0.155958,-0.0050177296910234
1947,11,58.53388525,-0.019693021910702702,0.160569,-0.0033057962318895004
1947,12,57.0220866875,0.0299730729019828,0.160549,-0.0050921028113565005
1948,1,58.7804838125,-0.039270864595378,0.156371,0.000694541429414
1948,2,56.6126384375,-0.043705012813667,0.160463,0.0014410057055613
1948,3,53.80198625,0.0807034068130593,0.157312,0.0016917620425371998
1948,4,57.9214348125,0.0364310911615473,0.156211,0.0009962598196042
1948,5,60.0961548125,0.07313202564209391,0.158471,0.004525350615967601
1948,6,64.216384625,-0.0009650135902095689,0.156905,-0.0030176659095973004
1948,7,63.9128983125,-0.0506915452903685,0.150573,-0.0006168508389401001
1948,8,60.6585881875,0.0024029850409268997,0.157554,9.01421102458001e-05
1948,9,60.4946930625,-0.030179339450262403,0.156257,0.0002759628711766
1948,10,58.445605875,0.0596191557117327,0.145429,0.0006756651177192999
1948,11,61.78608425,-0.0935858519525333,0.155938,0.0018399339897628001
1948,12,55.4561828125,0.032083541314928306,0.155146,0.0022433927173673
1949,1,57.108092,0.0023071730699662997,0.14855,0.002277025565623
1949,2,57.286909875,-0.0292517982955198,0.152881,0.0014639151520594
1949,3,55.403732625,0.0403838429962089,0.151574,0.0014161709164322999
1949,4,57.399738,-0.0186506768171757,0.151836,0.00042462270533709997
1949,5,56.330133625,-0.0295732284485094,0.153607,0.0007867022157102999
1949,6,54.4247301875,0.000987574009528,0.148602,0.0054331882270805
1949,7,54.1661530625,0.055405441466645104,0.147515,0.0025903031807036
1949,8,57.2607111875,0.0260247153743513,0.153121,0.0030450942613082
1949,9,58.4005956875,0.030914246665382002,0.152417,0.0005161526594021
1949,10,60.300326375,0.0314236042877678,0.145979,0.0006297129214195001
1949,11,62.1146866875,0.018244046102062803,0.153524,0.0010512293168337
1949,12,62.528556625,0.051238973919013,0.152124,0.0023674714821471
1950,1,65.9767520625,0.016978792156811702,0.142831,-0.0029291354557621
1950,2,67.23158675,0.0147387181118813,0.150044,-0.0007638533507884
1950,3,67.8784065,0.012666396036257301,0.14573,-0.0012675223207563998
1950,4,68.7800876875,0.0394151791017871,0.144216,-0.0011769188219686
1950,5,71.4464325625,0.0430254445668294,0.150557,0.00024762541585739996
1950,6,74.2130253125,-0.0592595748251394,0.144434,-0.0015272762775415
1950,7,69.538311875,0.0136255375374028,0.145459,0.0010360681227899998
1950,8,70.55975075,0.0485314199485409,0.151015,7.70203695137999e-05
1950,9,73.3990479375,0.0480396080187295,0.149516,-0.0021988713397903
1950,10,76.7774880625,-0.0018382544757119,0.137347,-0.0013472993637333
1950,11,76.71382825,0.0275686955895252,0.147532,0.0002641221780276999
1950,12,77.6328503125,0.0554012920312698,0.148231,0.0001349321064405
1951,1,82.7571788125,0.0569783367228804,0.140525,0.0010954970691176
1951,2,87.5830555,0.0140968793848243,0.146374,-0.0007757465572499
1951,3,88.5088003125,-0.021514947167971702,0.14708,-0.0089082218351723
1951,4,86.70183075,0.0486206970593214,0.149386,-0.0036555053131154
1951,5,91.0108975625,-0.023353922164867702,0.135907,-0.0014957964913276
1951,6,88.431762125,-0.0262139387246703,0.132396,0.0004983762199700001
1951,7,86.2859495625,0.06939471190059661,0.123725,0.0033053275402076
1951,8,92.29327475,0.0427923887189589,0.126896,0.0052316536908771
1951,9,95.5830295,0.007002318364800501,0.134814,-0.0043310324969034995
1951,10,96.0159596875,-0.0252438269835458,0.132841,-0.0001235419693501
1951,11,93.575391875,0.0056616540776228,0.122668,-0.0016330741794846
1951,12,93.51134125,0.0332231952491431,0.136583,-0.0027296023700454997
1952,1,98.1184521875,0.014592205936373798,0.135612,0.0027320771844936004
1952,2,99.66771995401,-0.0262481632597605,0.137678,-0.0003018283312228999
1952,3,96.48305803125,0.0443777054666197,0.136777,0.0038408573885969
1952,4,100.74922825,-0.0497449928342583,0.135888,0.0053346926172302
1952,5,95.754728125,0.0319574743195683,0.13451,-0.00030929699377909995
1952,6,98.321991,0.038291804420937596,0.137101,-0.00172370479084
1952,7,101.947426875,0.009081237449194299,0.131342,-0.0020245906765974
1952,8,102.946461125,-0.007637460368307401,0.137379,-0.0028545305722654
1952,9,101.5376689375,-0.020296700999451,0.136414,-0.003946879418962599
1952,10,99.48954,-0.0064864527488945,0.126825,0.0045607368097818
1952,11,98.712928875,0.059393865211691696,0.13777,-0.00034627330158740004
1952,12,103.778592125,0.029164707025889698,0.141082,-0.0017956690819986635
1953,1,108.4916393125,-0.0033950530902434996,0.142376,-0.0002347183354983
1953,2,108.240862375,-0.0027220944678618,0.142773,-0.0031190211580174
1953,3,107.3800158125,-0.0143374752224173,0.134213,-0.0023926056493792
1953,4,105.5943655,-0.028282702448759,0.139747,-0.0057340404633199
1953,5,102.83326825,0.0052024492077391,0.140196,-0.0077054769682424005
1953,6,103.00480225,-0.018863893671009,0.137281,0.0084702913203772
1953,7,100.893660625,0.0240616260965049,0.139322,0.0026881747585230003
1953,8,103.312428,-0.0451474932429922,0.141752,0.00020228253710290016
1953,9,98.0692633125,0.0021621413294406,0.144811,0.0111340234370857
1953,10,98.0316000625,0.0459465652024611,0.13744,0.0035450604333834997
1953,11,102.4106351875,0.028251716986590802,0.14676,-0.0009683094051967999
1953,12,104.5707885625,0.000530672553927,0.138106,0.0073927618828429995
1954,1,106.091582625,0.0513214227460789,0.147026,0.0056370832140065
1954,2,111.5579445,0.016690086128904,0.148552,0.0056291926631128995
1954,3,112.7018685625,0.0365279344096078,0.130405,0.0028544533700826
1954,4,116.449926375,0.0427442982603053,0.141172,0.0048091774787965
1954,5,121.567377125,0.030929176649784198,0.144015,-0.0062629863007594
1954,6,124.572562375,0.0107599035609922,0.138094,0.0062421544143576
1954,7,125.588052,0.0499316648608644,0.142785,0.0016696581098922
1954,8,131.80732875,-0.0234089427118202,0.144283,-0.0017507939567104
1954,9,127.8228925625,0.0639423041222583,0.139101,-0.0007241116589642
1954,10,135.768626625,-0.016711847192259,0.147906,-0.0009418988718717
1954,11,133.3579721875,0.0937550080510644,0.152092,-0.0014999859453055
1954,12,144.628012375,0.0549198829078948,0.150596,-0.0004490542673875
1955,1,156.4815803125,0.006044758220754,0.139674,-0.0047920166934087
1955,2,157.3414233125,0.0301679282261515,0.151795,-0.0045648047234216
1955,3,161.7177756875,-0.0014784808674244,0.137521,0.0017212857699871
1955,4,161.0525984375,0.0310763977010449,0.14578,-0.0016833648574401
1955,5,166.156992375,0.009329880301865599,0.150513,0.0021139512491871997
1955,6,166.8187538125,0.0656527147775978,0.145158,-0.0035829648423232998
1955,7,177.7401579375,0.0189083507394799,0.149167,-0.0062869038965722
1955,8,181.1469928125,0.0021018560988052,0.149955,0.00038583850402749997
1955,9,181.0385791875,-0.0036521835230736,0.150943,0.0044741921526458995
1955,10,180.075604875,-0.0266868187326927,0.153054,0.0032236433330288
1955,11,175.124542,0.0703167843304901,0.153108,-0.0045484548024049
1955,12,186.5247275,0.0148637404800065,0.15454,-0.0011707550889233
1956,1,193.190048375,-0.030409748381115598,0.155329,0.005333334397098
1956,2,187.54796075,0.0377615554138673,0.155318,-0.0010546153923222
1956,3,194.14053275,0.0663642791554778,0.156929,-0.0084679879609241
1956,4,207.597047875,0.0028068191192733996,0.145868,-0.0030069492601446
1956,5,208.3806863125,-0.051948644025521094,0.153142,0.0076085039293663
1956,6,196.9655160625,0.0347512499300559,0.151587,-0.0002455919953088001
1956,7,203.4635065,0.048878563995348796,0.148731,-0.0088902054829069
1956,8,213.571234,-0.0318123502987292,0.134912,-0.0077293023523019
1956,9,205.909271875,-0.0513624753644328,0.147697,0.0021558281721433
1956,10,195.9106924375,0.0051729143233905,0.149911,-0.002343918923633
1956,11,196.86653225,0.0036175151943906,0.148353,-0.003950212331245
1956,12,196.529821375,0.0315031252544157,0.142543,-0.0050406511688515
1957,1,206.75279925,-0.0356478239639961,0.151344,0.0139976793158715
1957,2,199.8692029375,-0.020642296634029597,0.152407,-0.0038308514468631
1957,3,195.5641149375,0.0212650145542508,0.14401,0.0010926036760666
1957,4,199.7753344375,0.042389804327460305,0.1531,-0.0060331475091491005
1957,5,208.9508879375,0.034467475825349,0.151842,-0.0044252615082447
1957,6,216.16855525,-0.007441324522404699,0.148798,-0.0078734058074804
1957,7,214.59953775,0.0066166612011887005,0.148846,0.0001679638952646
1957,8,216.85953025,-0.0511187089958912,0.138517,0.0022840373621161995
1957,9,205.4058585625,-0.0597826792232423,0.151166,-0.0024008960340037
1957,10,193.0599659375,-0.042852694387156304,0.15246,0.0009232220797254003
1957,11,185.191017125,0.0229843682260689,0.154013,0.0244651239497311
1957,12,189.2079115,-0.0390457867512335,0.145249,0.0109623941944065
1958,1,184.408799375,0.0470697490085958,0.155509,0.0023840628368762
1958,2,192.8328480625,-0.0151896162599381,0.154376,0.0078809413255305
1958,3,188.853085,0.0327311570612048,0.142004,0.0043157575281863
1958,4,195.2202641875,0.030840182740991796,0.154237,0.0039255007673767005
1958,5,201.32611325,0.0231125478942238,0.153366,0.0029734054755027996
1958,6,204.9898514375,0.029264180212924002,0.158948,-0.0067199400747592
1958,7,210.3248226875,0.0439383995687892,0.149527,-0.0071791342187097
1958,8,219.06871975,0.019033160638814498,0.146277,-0.0247268206128262
1958,9,222.1902775,0.046641069841293105,0.158497,-0.0024478911420879
1958,10,232.19509775,0.0256776437384219,0.158621,0.001398368229473
1958,11,238.082889375,0.0300632146377665,0.163628,0.006131706038083
